month;day;FFMC;DMC;DC
mar;fri;86,2;26,2;94,3
oct;tue;90,6;35,4;669,1
oct;sat;90,6;43,7;686,9
mar;fri;91,7;33,3;77,5
mar;sun;89,3;51,3;102,2
aug;sun;92,3;85,3;488
aug;mon;92,3;88,9;495,6
aug;mon;91,5;145,4;608,2
sep;tue;91;129,5;692,6
sep;sat;92,5;88;698,6
sep;sat;92,5;88;698,6
sep;sat;92,8;73,2;713
aug;fri;63,5;70,8;665,3
sep;mon;90,9;126,5;686,5
sep;wed;92,9;133,3;699,6
sep;fri;93,3;141,2;713,9
mar;sat;91,7;35,8;80,8
oct;mon;84,9;32,8;664,2
mar;wed;89,2;27,9;70,8
apr;sat;86,3;27,4;97,1
sep;tue;91;129,5;692,6
sep;mon;91,8;78,5;724,3
jun;sun;94,3;96,3;200
aug;sat;90,2;110,9;537,4
aug;sat;93,5;139,4;594,2
aug;sun;91,4;142,4;601,4
sep;fri;92,4;117,9;668
sep;mon;90,9;126,5;686,5
sep;sat;93,4;145,4;721,4
sep;sun;93,5;149,3;728,6
sep;fri;94,3;85,1;692,3
sep;mon;88,6;91,8;709,9
sep;fri;88,6;69,7;706,8
sep;sun;91,7;75,6;718,3
sep;mon;91,8;78,5;724,3
sep;tue;90,3;80,7;730,2
oct;tue;90,6;35,4;669,1
oct;fri;90;41,5;682,6
oct;sat;90,6;43,7;686,9
mar;tue;88,1;25,7;67,6
jul;tue;79,5;60,6;366,7
aug;sat;90,2;96,9;624,2
aug;tue;94,8;108,3;647,1
sep;sat;92,5;88;698,6
sep;wed;90,1;82,9;735,7
sep;wed;94,3;85,1;692,3
sep;mon;90,9;126,5;686,5
jul;mon;94,2;62,3;442,9
mar;mon;87,2;23,9;64,7
mar;mon;87,6;52,2;103,8
sep;thu;92,9;137;706,4
aug;sun;90,2;99,6;631,2
aug;wed;92,1;111,2;654,1
aug;wed;92,1;111,2;654,1
aug;thu;91,7;114,3;661,3
sep;thu;92,9;137;706,4
sep;tue;90,3;80,7;730,2
oct;sun;92,6;46,5;691,8
feb;mon;84;9,3;34
feb;fri;86,6;13,2;43
mar;sun;89,3;51,3;102,2
mar;sun;89,3;51,3;102,2
aug;thu;93;75,3;466,6
aug;sun;90,2;99,6;631,2
aug;mon;91,1;103,2;638,8
aug;thu;91,7;114,3;661,3
sep;fri;92,4;117,9;668
sep;fri;92,4;117,9;668
sep;fri;92,4;117,9;668
mar;fri;91,7;33,3;77,5
mar;fri;91,2;48,3;97,8
sep;fri;94,3;85,1;692,3
mar;fri;91,7;33,3;77,5
aug;tue;88,8;147,3;614,5
sep;fri;93,3;141,2;713,9
feb;thu;84,2;6,8;26,6
feb;fri;86,6;13,2;43
mar;mon;87,6;52,2;103,8
aug;fri;90,1;108;529,8
aug;tue;91;121,2;561,6
aug;sun;91,4;142,4;601,4
aug;sun;90,2;99,6;631,2
aug;tue;94,8;108,3;647,1
aug;wed;92,1;111,2;654,1
aug;thu;91,7;114,3;661,3
sep;thu;92,9;137;706,4
sep;thu;92,9;137;706,4
sep;thu;92,9;137;706,4
sep;sun;93,5;149,3;728,6
mar;sat;91,7;35,8;80,8
aug;sat;90,2;96,9;624,2
mar;fri;91,7;35,8;80,8
aug;sun;92,3;85,3;488
aug;sun;91,4;142,4;601,4
aug;mon;91,1;103,2;638,8
sep;sun;89,7;90;704,4
feb;sat;83,9;8;30,2
mar;sat;69;2,4;15,5
aug;sun;91,4;142,4;601,4
aug;sun;91,4;142,4;601,4
aug;sun;91,4;142,4;601,4
aug;tue;88,8;147,3;614,5
aug;tue;94,8;108,3;647,1
sep;sat;92,5;121,1;674,4
jan;sat;82,1;3,7;9,3
mar;fri;85,9;19,5;57,3
mar;thu;91,4;30,7;74,3
aug;sun;90,2;99,6;631,2
sep;sat;92,5;88;698,6
sep;mon;88,6;91,8;709,9
mar;fri;85,9;19,5;57,3
mar;fri;91,7;33,3;77,5
sep;sun;89,7;90;704,4
sep;mon;91,8;78,5;724,3
mar;tue;88,1;25,7;67,6
mar;tue;88,1;25,7;67,6
mar;sat;91,7;35,8;80,8
mar;sat;91,7;35,8;80,8
mar;mon;90,1;39,7;86,6
aug;thu;93;75,3;466,6
aug;mon;91,5;145,4;608,2
aug;mon;91,5;145,4;608,2
sep;sun;92,4;124,1;680,7
sep;tue;84,4;73,4;671,9
sep;fri;94,3;85,1;692,3
oct;sun;92,6;46,5;691,8
mar;mon;87,6;52,2;103,8
sep;fri;93,5;149,3;728,6
oct;wed;91,4;37,9;673,8
oct;sun;92,6;46,5;691,8
feb;sat;68,2;21,5;87,2
mar;mon;87,2;23,9;64,7
mar;sun;89,3;51,3;102,2
sep;thu;93,7;80,9;685,2
mar;tue;88,1;25,7;67,6
aug;sat;93,5;139,4;594,2
sep;sun;92,4;124,1;680,7
sep;mon;90,9;126,5;686,5
jul;tue;85,8;48,3;313,4
sep;tue;91;129,5;692,6
sep;mon;90,9;126,5;686,5
aug;wed;95,5;99,9;513,3
aug;fri;90,1;108;529,8
jul;sat;90;51,3;296,3
aug;wed;95,5;99,9;513,3
aug;thu;95,2;131,7;578,8
mar;mon;90,1;39,7;86,6
sep;tue;84,4;73,4;671,9
aug;tue;94,8;108,3;647,1
sep;thu;93,7;80,9;685,2
jun;fri;92,5;56,4;433,3
jul;sun;90,1;68,6;355,2
jul;sat;90,1;51,2;424,1
sep;fri;94,3;85,1;692,3
sep;sat;93,4;145,4;721,4
aug;sun;94,8;108,3;647,1
sep;sat;93,4;145,4;721,4
aug;wed;92,1;111,2;654,1
aug;wed;92,1;111,2;654,1
sep;fri;92,4;117,9;668
mar;mon;90,1;39,7;86,6
aug;thu;95,2;131,7;578,8
mar;sat;90,6;50,1;100,4
sep;sat;92,5;121,1;674,4
sep;sun;89,7;90;704,4
mar;thu;84,9;18,2;55
aug;wed;92,1;111,2;654,1
aug;wed;96;127,1;570,5
mar;fri;91,2;48,3;97,8
aug;thu;95,2;131,7;578,8
sep;wed;92,9;133,3;699,6
aug;wed;85,6;90,4;609,6
aug;sun;91,4;142,4;601,4
sep;mon;90,9;126,5;686,5
aug;sat;90,2;96,9;624,2
aug;sat;90,2;96,9;624,2
apr;thu;81,5;9,1;55,2
aug;sun;90,2;99,6;631,2
sep;wed;90,1;82,9;735,7
aug;tue;88,8;147,3;614,5
sep;sun;92,4;124,1;680,7
oct;mon;84,9;32,8;664,2
feb;sun;86,8;15,6;48,3
oct;mon;91,7;48,5;696,1
aug;fri;93,9;135,7;586,7
sep;tue;91;129,5;692,6
mar;sun;89,3;51,3;102,2
sep;mon;90,9;126,5;686,5
mar;sat;90,8;41,9;89,4
mar;sun;90,7;44;92,4
mar;fri;91,2;48,3;97,8
aug;thu;95,2;131,7;578,8
aug;tue;94,8;108,3;647,1
sep;wed;92,9;133,3;699,6
aug;tue;94,8;108,3;647,1
aug;fri;93,9;135,7;586,7
apr;thu;81,5;9,1;55,2
sep;thu;92,9;137;706,4
sep;tue;91;129,5;692,6
sep;mon;63,5;70,8;665,3
sep;tue;91;129,5;692,6
mar;sun;90,1;37,6;83,7
feb;sun;83,9;8,7;32,1
oct;wed;91,4;37,9;673,8
mar;sat;90,6;50,1;100,4
sep;thu;92,9;137;706,4
aug;sat;93,5;139,4;594,2
sep;tue;91;129,5;692,6
sep;fri;92,4;117,9;668
sep;thu;93,7;80,9;685,2
oct;sat;90,6;43,7;686,9
aug;sat;93,5;139,4;594,2
sep;fri;94,3;85,1;692,3
mar;mon;87,6;52,2;103,8
mar;sat;91,7;35,8;80,8
mar;sat;91,7;35,8;80,8
sep;sun;92,4;124,1;680,7
sep;mon;88,6;91,8;709,9
sep;wed;92,9;133,3;699,6
mar;mon;90,1;39,7;86,6
aug;sun;90,2;99,6;631,2
sep;fri;93,3;141,2;713,9
mar;mon;87,6;52,2;103,8
jul;fri;88,3;150,3;309,9
sep;wed;90,1;82,9;735,7
sep;sun;93,5;149,3;728,6
