month;ISI;temp;RH;wind;rain;area
mar;5,1;8,2;51;6,7;0;0
oct;6,7;18;33;0,9;0;0
oct;6,7;14,6;33;1,3;0;0
mar;9;8,3;97;4;0,2;0
mar;9,6;11,4;99;1,8;0;0
aug;14,7;22,2;29;5,4;0;0
aug;8,5;24,1;27;3,1;0;0
aug;10,7;8;86;2,2;0;0
sep;7;13,1;63;5,4;0;0
sep;7,1;22,8;40;4;0;0
sep;7,1;17,8;51;7,2;0;0
sep;22,6;19,3;38;4;0;0
aug;0,8;17;72;6,7;0;0
sep;7;21,3;42;2,2;0;0
sep;9,2;26,4;21;4,5;0;0
sep;13,9;22,9;44;5,4;0;0
mar;7,8;15,1;27;5,4;0;0
oct;3;16,7;47;4,9;0;0
mar;6,3;15,9;35;4;0;0
apr;5,1;9,3;44;4,5;0;0
sep;7;18,3;40;2,7;0;0
sep;9,2;19,1;38;2,7;0;0
jun;56,1;21;44;4,5;0;0
aug;6,2;19,5;43;5,8;0;0
aug;20,3;23,7;32;5,8;0;0
aug;10,6;16,3;60;5,4;0;0
sep;12,2;19;34;5,8;0;0
sep;7;19,4;48;1,3;0;0
sep;8,1;30,2;24;2,7;0;0
sep;8,1;22,8;39;3,6;0;0
sep;15,9;25,4;24;3,6;0;0
sep;7,1;11,2;78;7,6;0;0
sep;5,8;20,6;37;1,8;0;0
sep;7,8;17,7;39;3,6;0;0
sep;9,2;21,2;32;2,7;0;0
sep;6,3;18,2;62;4,5;0;0
oct;6,7;21,7;24;4,5;0;0
oct;8,7;11,3;60;5,4;0;0
oct;6,7;17,8;27;4;0;0
mar;3,8;14,1;43;2,7;0;0
jul;1,5;23,3;37;3,1;0;0
aug;8,9;18,4;42;6,7;0;0
aug;17;16,6;54;5,4;0;0
sep;7,1;19,6;48;2,7;0;0
sep;6,2;12,9;74;4,9;0;0
sep;15,9;25,9;24;4;0;0
sep;7;14,7;70;3,6;0;0
jul;11;23;36;3,1;0;0
mar;4,1;11,8;35;1,8;0;0
mar;5;11;46;5,8;0;0
sep;9,2;20,8;17;1,3;0;0
aug;6,3;21,5;34;2,2;0;0
aug;9,6;20,4;42;4,9;0;0
aug;9,6;20,4;42;4,9;0;0
aug;6,3;17,6;45;3,6;0;0
sep;9,2;27,7;24;2,2;0;0
sep;6,3;17,8;63;4,9;0;0
oct;8,8;13,8;50;2,7;0;0
feb;2,1;13,9;40;5,4;0;0
feb;5,3;12,3;51;0,9;0;0
mar;9,6;11,5;39;5,8;0;0
mar;9,6;5,5;59;6,3;0;0
aug;7,7;18,8;35;4,9;0;0
aug;6,3;20,8;33;2,7;0;0
aug;5,8;23,1;31;3,1;0;0
aug;6,3;18,6;44;4,5;0;0
sep;12,2;23;37;4,5;0;0
sep;12,2;19,6;33;5,4;0;0
sep;12,2;19,6;33;6,3;0;0
mar;9;17,2;26;4,5;0;0
mar;12,5;15,8;27;7,6;0;0
sep;15,9;17,7;37;3,6;0;0
mar;9;15,6;25;6,3;0;0
aug;9;17,3;43;4,5;0;0
sep;13,9;27,6;30;1,3;0;0
feb;7,7;6,7;79;3,1;0;0
feb;5,3;15,7;43;3,1;0;0
mar;5;8,3;72;3,1;0;0
aug;12,5;14,7;66;2,7;0;0
aug;7;21,6;19;6,7;0;0
aug;10,6;19,5;39;6,3;0;0
aug;6,3;17,9;44;2,2;0;0
aug;17;18,6;51;4,5;0;0
aug;9,6;16,6;47;0,9;0;0
aug;6,3;20,2;45;3,6;0;0
sep;9,2;21,5;15;0,9;0;0
sep;9,2;25,4;27;2,2;0;0
sep;9,2;22,4;34;2,2;0;0
sep;8,1;25,3;36;3,6;0;0
mar;7,8;17,4;25;4,9;0;0
aug;8,9;14,7;59;5,8;0;0
mar;7,8;17,4;24;5,4;0;0
aug;14,7;20,8;32;6,3;0;0
aug;10,6;18,2;43;4,9;0;0
aug;5,8;23,4;22;2,7;0;0
sep;4,8;17,8;64;1,3;0;0
feb;2,6;12,7;48;1,8;0;0
mar;0,7;17,4;24;5,4;0;0
aug;10,6;11,6;87;4,5;0;0
aug;10,6;19,8;39;5,4;0;0
aug;10,6;19,8;39;5,4;0;0
aug;9;14,4;66;5,4;0;0
aug;17;20,1;40;4;0;0
sep;8,6;24,1;29;4,5;0;0
