;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
3209;3210;98.0;0.0;USA;11000000.0;1987762.0;59297;216.0;376.0;12000;607.0;11000.0;414.0;251.0;11853;6.7;Good
687;688;92.0;0.0;Australia;65000000.0;19059018.0;65709;194.0;308.0;15000;72.0;623.0;593.0;568.0;3165;5.1;Fair
1175;1176;105.0;4.0;France;27000000.0;1260917.0;24657;71.0;213.0;0;0.0;1000.0;172.0;52.0;1342;7.2;Good
2176;2177;105.0;0.0;USA;20000000.0;56362352.0;357581;588.0;111.0;16000;13000.0;40000.0;967.0;658.0;42330;7.9;Good
4644;4645;85.0;0.0;USA;900000.0;16097842.0;53919;168.0;327.0;17000;0.0;282.0;270.0;88.0;687;7.5;Good
1899;1900;117.0;1.0;USA;25000000.0;51533608.0;203111;755.0;408.0;32000;248.0;14000.0;798.0;726.0;16606;6.8;Good
2252;2253;108.0;2.0;USA;19000000.0;25753840.0;219091;592.0;165.0;12000;0.0;16000.0;4000.0;844.0;23296;7.3;Good
5036;5037;95.0;1.0;USA;9000.0;4584.0;1338;14.0;14.0;413;0.0;296.0;205.0;133.0;690;6.4;Good
1422;1423;123.0;0.0;USA;35000000.0;59699513.0;20827;136.0;160.0;0;130.0;826.0;638.0;426.0;2259;7.2;Good
2383;2384;110.0;0.0;USA;;560512.0;550;3.0;63.0;599;44.0;8000.0;691.0;85.0;8972;7.8;Good
3319;3320;102.0;0.0;UK;;;9305;44.0;91.0;0;11.0;10000.0;281.0;35.0;10369;7.1;Good
3918;3919;127.0;0.0;USA;4000000.0;;12677;89.0;50.0;414;13000.0;204.0;187.0;148.0;753;6.3;Good
4388;4389;103.0;1.0;USA;1600000.0;;11920;90.0;55.0;721;673.0;281.0;230.0;89.0;955;7.4;Good
54;55;93.0;0.0;USA;;123070338.0;62836;345.0;298.0;20000;113.0;275.0;150.0;113.0;696;6.8;Good
1654;1655;126.0;1.0;USA;30000000.0;38413606.0;54042;215.0;77.0;0;102.0;22000.0;581.0;497.0;23866;7.6;Good
1685;1686;105.0;1.0;USA;25000000.0;17100000.0;7073;29.0;36.0;204;114.0;4000.0;561.0;537.0;6152;5.3;Fair
4902;4903;103.0;0.0;USA;200000.0;174682.0;460;14.0;12.0;96;18.0;96.0;90.0;61.0;314;6.9;Good
5002;5003;79.0;0.0;USA;;24705.0;1516;10.0;61.0;377;2.0;962.0;72.0;20.0;1054;6.3;Good
2985;2986;110.0;0.0;USA;12000000.0;3148482.0;29613;98.0;190.0;0;115.0;812.0;580.0;103.0;1540;7.1;Good
285;286;144.0;1.0;UK;150000000.0;167007184.0;470483;2301.0;400.0;0;258.0;6000.0;1000.0;834.0;9125;8.0;Good
704;705;125.0;2.0;USA;42000000.0;15738632.0;38076;399.0;113.0;0;11.0;11000.0;904.0;867.0;14536;5.9;Fair
3667;3668;129.0;0.0;USA;5500000.0;159600000.0;175607;252.0;119.0;0;131.0;1000.0;559.0;417.0;2387;8.3;Excellent
2006;2007;134.0;6.0;France;25000000.0;183662.0;18395;48.0;118.0;0;0.0;541.0;173.0;92.0;890;7.1;Good
1792;1793;145.0;1.0;Spain;24000000.0;;10266;84.0;31.0;0;13.0;10000.0;1000.0;278.0;11669;6.1;Good
2740;2741;97.0;0.0;UK;;122288.0;64777;201.0;195.0;0;197.0;13000.0;794.0;570.0;15293;6.4;Good
3192;3193;115.0;0.0;Germany;6500000.0;54557348.0;361169;1624.0;287.0;18000;549.0;3000.0;912.0;911.0;5732;7.9;Good
3510;3511;99.0;0.0;USA;7000000.0;2344847.0;18561;119.0;158.0;0;342.0;1000.0;518.0;501.0;2158;6.8;Good
433;434;162.0;0.0;USA;65000000.0;33048353.0;301279;589.0;377.0;12000;21000.0;21000.0;15000.0;495.0;36928;7.7;Good
3252;3253;116.0;2.0;Canada;10000000.0;;2223;27.0;17.0;746;24.0;183.0;136.0;46.0;428;7.0;Good
2467;2468;121.0;2.0;Spain;11350000.0;229311.0;899;42.0;10.0;271;0.0;854.0;578.0;353.0;2705;6.2;Good
291;292;106.0;1.0;USA;100000000.0;65452312.0;149998;285.0;267.0;0;12000.0;18000.0;464.0;385.0;19906;6.4;Good
4882;4883;108.0;6.0;USA;250000.0;;25;1.0;1.0;71;431.0;288.0;96.0;3.0;387;6.6;Good
3710;3711;127.0;0.0;USA;5000000.0;;22123;108.0;69.0;0;130.0;617.0;53.0;51.0;799;7.2;Good
3714;3715;83.0;0.0;USA;3300000.0;25799043.0;28513;126.0;152.0;0;26.0;10000.0;830.0;801.0;11771;5.2;Fair
2088;2089;122.0;3.0;USA;22000000.0;54235441.0;52894;185.0;180.0;55000;529.0;820.0;201.0;171.0;1484;7.3;Good
5029;5030;84.0;2.0;USA;;;156;3.0;;22;5.0;21.0;20.0;12.0;62;6.1;Good
3469;3470;110.0;1.0;USA;7000000.0;113709992.0;108843;281.0;324.0;54000;0.0;17000.0;15000.0;11000.0;46646;6.1;Good
2002;2003;107.0;3.0;UK;25000000.0;1186957.0;9264;69.0;160.0;0;0.0;962.0;266.0;240.0;1591;6.8;Good
1346;1347;88.0;0.0;China;40000000.0;;2169;18.0;4.0;0;0.0;76.0;47.0;46.0;196;6.4;Good
2936;2937;172.0;0.0;USA;12000000.0;;76398;258.0;112.0;0;76.0;654.0;416.0;78.0;1306;8.0;Good
895;896;123.0;0.0;USA;57000000.0;26838389.0;58658;495.0;190.0;0;488.0;5000.0;4000.0;2000.0;12700;6.4;Good
98;99;182.0;;USA;180000000.0;303001229.0;637246;1367.0;645.0;166000;0.0;5000.0;972.0;773.0;9152;7.9;Good
555;556;94.0;0.0;USA;75000000.0;22751979.0;52244;377.0;131.0;0;383.0;13000.0;1000.0;886.0;15857;6.6;Good
2466;2467;114.0;0.0;France;18000000.0;;2541;20.0;59.0;342;157.0;84.0;35.0;32.0;198;5.5;Fair
3820;3821;148.0;0.0;USA;890000.0;24475416.0;72443;309.0;104.0;0;0.0;3000.0;324.0;263.0;3967;8.0;Good
3818;3819;113.0;1.0;Czech Republic;84450000.0;617228.0;6183;27.0;99.0;1000;44.0;61.0;12.0;4.0;92;7.4;Good
